## 符号组
ぢ	ofrx
っ	ofrx
つ	ofrx
づ	ofrx
て	ofrx
で	ofrx
と	ofrx
ど	ofrx
な	ofrx
に	ofrx
ぬ	ofrx
ね	ofrx
の	ofrx
は	ofrx
ば	ofrx
ひ	ofrx
び	ofrx
ぴ	ofrx
ふ	ofrx
ぶ	ofrx
ぷ	ofrx
へ	ofrx
べ	ofrx
ぺ	ofrx
ほ	ofrx
ぼ	ofrx
ぽ	ofrx
ま	ofrx
み	ofrx
む	ofrx
め	ofrx
も	ofrx
ゃ	ofrx
や	ofrx
ゅ	ofrx
ゆ	ofrx
ょ	ofrx
よ	ofrx
ら	ofrx
り	ofrx
る	ofrx
れ	ofrx
ろ	ofrx
ゎ	ofrx
わ	ofrx
ゐ	ofrx
ゑ	ofrx
を	ofrx
ん	ofrx
゛	ofrx
゜	ofrx
ゝ	ofrx
ゞ	ofrx
勹	ofpp
灬	ofpp
冫	ofpp
艹	ofpp
屮	ofpp
辶	ofpp
刂	ofpp
匚	ofpp
阝	ofpp
廾	ofpp
丨	ofpp
虍	ofpp
彐	ofpp
卩	ofpp
钅	ofpp
冂	ofpp
冖	ofpp
宀	ofpp
疒	ofpp
肀	ofpp
丿	ofpp
攵	ofpp
凵	ofpp
犭	ofpp
亻	ofpp
彡	ofpp
饣	ofpp
礻	ofpp
扌	ofpp
氵	ofpp
纟	ofpp
亠	ofpp
囗	ofpp
忄	ofpp
讠	ofpp
衤	ofpp
廴	ofpp
尢	ofpp
夂	ofpp
丶	ofpp
丬	ofpp
ā	ofpy
á	ofpy
ǎ	ofpy
à	ofpy
ō	ofpy
ó	ofpy
ǒ	ofpy
ò	ofpy
ē	ofpy
é	ofpy
ě	ofpy
è	ofpy
ê	ofpy
ī	ofpy
í	ofpy
ǐ	ofpy
ì	ofpy
ū	ofpy
ú	ofpy
ǔ	ofpy
ù	ofpy
ü	ofpy
ǖ	ofpy
ǘ	ofpy
ǚ	ofpy
ǜ	ofpy
ḿ	ofpy
m̀	ofpy
ń	ofpy
ň	ofpy
ǹ	ofpy
Ⅰ	ofld
Ⅱ	ofld
Ⅲ	ofld
Ⅳ	ofld
Ⅴ	ofld
Ⅵ	ofld
Ⅶ	ofld
Ⅷ	ofld
Ⅸ	ofld
Ⅹ	ofld
Ⅺ	ofld
