蕔	bao	2	rime_pinyin_simp
窇	bao	3	rime_pinyin_simp
笣	bao	4	rime_pinyin_simp
趵	bao	4	rime_pinyin_simp
瀑	bao	5	rime_pinyin_simp
褓	bao	7	rime_pinyin_simp
儤	bao	7	rime_pinyin_simp
鮑	bao	9	rime_pinyin_simp
龅	bao	10	rime_pinyin_simp
鸨	bao	11	rime_pinyin_simp
剥	bao	13	rime_pinyin_simp
飽	bao	13	rime_pinyin_simp
刨	bao	16	rime_pinyin_simp
寳	bao	16	rime_pinyin_simp
菢	bao	26	rime_pinyin_simp
報	bao	29	rime_pinyin_simp
雹	bao	36	rime_pinyin_simp
勹	bao	38	rime_pinyin_simp
寶	bao	45	rime_pinyin_simp
孢	bao	73	rime_pinyin_simp
宀	bao	84	rime_pinyin_simp
葆	bao	168	rime_pinyin_simp
褒	bao	182	rime_pinyin_simp
苞	bao	201	rime_pinyin_simp
曝	bao	264	rime_pinyin_simp
胞	bao	272	rime_pinyin_simp
豹	bao	455	rime_pinyin_simp
煲	bao	585	rime_pinyin_simp
鲍	bao	608	rime_pinyin_simp
堡	bao	874	rime_pinyin_simp
薄	bao	963	rime_pinyin_simp
饱	bao	1412	rime_pinyin_simp
暴	bao	1814	rime_pinyin_simp
爆	bao	4355	rime_pinyin_simp
保	bao	4533	rime_pinyin_simp
抱	bao	4770	rime_pinyin_simp
宝	bao	5581	rime_pinyin_simp
报	bao	11313	rime_pinyin_simp
包	bao	15390	rime_pinyin_simp
栟	ben	1	rime_pinyin_simp
泍	ben	2	rime_pinyin_simp
錛	ben	2	rime_pinyin_simp
夯	ben	5	rime_pinyin_simp
坌	ben	7	rime_pinyin_simp
畚	ben	10	rime_pinyin_simp
犇	ben	23	rime_pinyin_simp
渀	ben	29	rime_pinyin_simp
贲	ben	56	rime_pinyin_simp
锛	ben	111	rime_pinyin_simp
苯	ben	640	rime_pinyin_simp
奔	ben	1470	rime_pinyin_simp
笨	ben	5350	rime_pinyin_simp
本	ben	24834	rime_pinyin_simp
閍	beng	1	rime_pinyin_simp
嵭	beng	1	rime_pinyin_simp
塴	beng	1	rime_pinyin_simp
菶	beng	2	rime_pinyin_simp
琫	beng	2	rime_pinyin_simp
埲	beng	3	rime_pinyin_simp
