---config@码表分类=主码-6
---config@码表别名=Ｏ符
😊	oi
$ddcmd(Ъ,Ъ)	ofed
$ddcmd(Ы,Ы)	ofed
$ddcmd(Ь,Ь)	ofed
$ddcmd(Э,Э)	ofed
$ddcmd(Ю,Ю)	ofed
$ddcmd(Я,Я)	ofed
$ddcmd(Ё,Ё)	ofed
$ddcmd(а,а)	ofex
$ddcmd(б,б)	ofex
$ddcmd(в,в)	ofex
$ddcmd(г,г)	ofex
$ddcmd(д,д)	ofex
$ddcmd(е,е)	ofex
$ddcmd(ж,ж)	ofex
$ddcmd(з,з)	ofex
$ddcmd(и,и)	ofex
$ddcmd(й,й)	ofex
$ddcmd(к,к)	ofex
$ddcmd(л,л)	ofex
$ddcmd(м,м)	ofex
$ddcmd(н,н)	ofex
$ddcmd(о,о)	ofex
$ddcmd(п,п)	ofex
$ddcmd(р,р)	ofex
$ddcmd(с,с)	ofex
$ddcmd(т,т)	ofex
$ddcmd(у,у)	ofex
$ddcmd(ф,ф)	ofex
$ddcmd(х,х)	ofex
$ddcmd(ц,ц)	ofex
$ddcmd(ч,ч)	ofex
$ddcmd(ш,ш)	ofex
$ddcmd(щ,щ)	ofex
$ddcmd(ъ,ъ)	ofex
$ddcmd(ы,ы)	ofex
$ddcmd(ь,ь)	ofex
$ddcmd(э,э)	ofex
$ddcmd(ю,ю)	ofex
$ddcmd(я,я)	ofex
$ddcmd(ё,ё)	ofex
$ddcmd(⒈,⒈)	ofdu
$ddcmd(⒉,⒉)	ofdu
$ddcmd(⒊,⒊)	ofdu
$ddcmd(⒋,⒋)	ofdu
$ddcmd(⒌,⒌)	ofdu
$ddcmd(⒍,⒍)	ofdu
$ddcmd(⒎,⒎)	ofdu
$ddcmd(⒏,⒏)	ofdu
$ddcmd(⒐,⒐)	ofdu
$ddcmd(⒑,⒑)	ofdu
$ddcmd(⒒,⒒)	ofdu
$ddcmd(⒓,⒓)	ofdu
$ddcmd(⒔,⒔)	ofdu
$ddcmd(⒕,⒕)	ofdu
$ddcmd(⒖,⒖)	ofdu
$ddcmd(⒗,⒗)	ofdu
$ddcmd(⒘,⒘)	ofdu
$ddcmd(⒙,⒙)	ofdu
$ddcmd(⒚,⒚)	ofdu
$ddcmd(⒛,⒛)	ofdu
$ddcmd(⑴,⑴)	ofku
$ddcmd(⑵,⑵)	ofku
$ddcmd(⑶,⑶)	ofku
$ddcmd(⑷,⑷)	ofku
$ddcmd(⑸,⑸)	ofku
$ddcmd(⑹,⑹)	ofku
$ddcmd(⑺,⑺)	ofku
$ddcmd(⑻,⑻)	ofku
$ddcmd(⑼,⑼)	ofku
$ddcmd(⑽,⑽)	ofku
$ddcmd(⑾,⑾)	ofku
$ddcmd(⑿,⑿)	ofku
$ddcmd(⒀,⒀)	ofku
$ddcmd(⒁,⒁)	ofku
$ddcmd(⒂,⒂)	ofku
$ddcmd(⒃,⒃)	ofku
$ddcmd(⒄,⒄)	ofku
$ddcmd(⒅,⒅)	ofku
$ddcmd(⒆,⒆)	ofku
$ddcmd(⒇,⒇)	ofku
$ddcmd(€,€)	ofhb
$ddcmd($,$)	ofhb
$ddcmd(￠,￠)	ofhb
$ddcmd(£,£)	ofhb
$ddcmd(￡,￡)	ofhb
$ddcmd(¥,¥)	ofhb
$ddcmd(฿,฿)	ofhb
$ddcmd(ァ,ァ)	ofrd
$ddcmd(ア,ア)	ofrd
$ddcmd(ィ,ィ)	ofrd
$ddcmd(イ,イ)	ofrd
$ddcmd(ゥ,ゥ)	ofrd
$ddcmd(ウ,ウ)	ofrd
$ddcmd(ェ,ェ)	ofrd
$ddcmd(エ,エ)	ofrd
$ddcmd(ォ,ォ)	ofrd
$ddcmd(オ,オ)	ofrd
$ddcmd(カ,カ)	ofrd
$ddcmd(ガ,ガ)	ofrd
$ddcmd(キ,キ)	ofrd
$ddcmd(ギ,ギ)	ofrd
$ddcmd(ク,ク)	ofrd
$ddcmd(グ,グ)	ofrd
$ddcmd(ケ,ケ)	ofrd
$ddcmd(ゲ,ゲ)	ofrd
$ddcmd(コ,コ)	ofrd
$ddcmd(ゴ,ゴ)	ofrd
$ddcmd(サ,サ)	ofrd
$ddcmd(ザ,ザ)	ofrd
$ddcmd(シ,シ)	ofrd
$ddcmd(ジ,ジ)	ofrd
$ddcmd(ス,ス)	ofrd
$ddcmd(ズ,ズ)	ofrd
$ddcmd(セ,セ)	ofrd
$ddcmd(ゼ,ゼ)	ofrd
$ddcmd(ソ,ソ)	ofrd
$ddcmd(ゾ,ゾ)	ofrd
$ddcmd(タ,タ)	ofrd
$ddcmd(ダ,ダ)	ofrd
$ddcmd(チ,チ)	ofrd
$ddcmd(ヂ,ヂ)	ofrd
$ddcmd(ッ,ッ)	ofrd
$ddcmd(ツ,ツ)	ofrd
$ddcmd(ヅ,ヅ)	ofrd
$ddcmd(テ,テ)	ofrd
$ddcmd(デ,デ)	ofrd
$ddcmd(ト,ト)	ofrd
$ddcmd(ド,ド)	ofrd
$ddcmd(ナ,ナ)	ofrd
$ddcmd(ニ,ニ)	ofrd
$ddcmd(ヌ,ヌ)	ofrd
$ddcmd(ネ,ネ)	ofrd
$ddcmd(ノ,ノ)	ofrd
$ddcmd(ハ,ハ)	ofrd
$ddcmd(バ,バ)	ofrd
$ddcmd(パ,パ)	ofrd
$ddcmd(ヒ,ヒ)	ofrd
$ddcmd(ビ,ビ)	ofrd
$ddcmd(ピ,ピ)	ofrd
$ddcmd(フ,フ)	ofrd
$ddcmd(ブ,ブ)	ofrd
$ddcmd(プ,プ)	ofrd
$ddcmd(ヘ,ヘ)	ofrd
$ddcmd(ベ,ベ)	ofrd
$ddcmd(ペ,ペ)	ofrd
$ddcmd(ホ,ホ)	ofrd
$ddcmd(ボ,ボ)	ofrd
$ddcmd(ポ,ポ)	ofrd
$ddcmd(マ,マ)	ofrd
$ddcmd(ミ,ミ)	ofrd
$ddcmd(ム,ム)	ofrd
$ddcmd(メ,メ)	ofrd
$ddcmd(モ,モ)	ofrd
$ddcmd(ャ,ャ)	ofrd
$ddcmd(ヤ,ヤ)	ofrd
$ddcmd(ュ,ュ)	ofrd
$ddcmd(ユ,ユ)	ofrd
$ddcmd(ョ,ョ)	ofrd
$ddcmd(ヨ,ヨ)	ofrd
$ddcmd(ラ,ラ)	ofrd
$ddcmd(リ,リ)	ofrd
$ddcmd(ル,ル)	ofrd
$ddcmd(レ,レ)	ofrd
$ddcmd(ロ,ロ)	ofrd
$ddcmd(ヮ,ヮ)	ofrd
$ddcmd(ワ,ワ)	ofrd
$ddcmd(ヰ,ヰ)	ofrd
$ddcmd(ヱ,ヱ)	ofrd
$ddcmd(ヲ,ヲ)	ofrd
$ddcmd(ン,ン)	ofrd
$ddcmd(ヴ,ヴ)	ofrd
$ddcmd(ヵ,ヵ)	ofrd
$ddcmd(ヶ,ヶ)	ofrd
$ddcmd(ー,ー)	ofrd
$ddcmd(ヽ,ヽ)	ofrd
$ddcmd(ヾ,ヾ)	ofrd
$ddcmd(←,←)	ofjt
$ddcmd(→,→)	ofjt
$ddcmd(↑,↑)	ofjt
$ddcmd(↓,↓)	ofjt
$ddcmd(↗,↗)	ofjt
$ddcmd(↖,↖)	ofjt
$ddcmd(↙,↙)	ofjt
$ddcmd(↘,↘)	ofjt
$ddcmd(↔,↔)	ofjt
$ddcmd(⇆,⇆)	ofjt
$ddcmd(⇤,⇤)	ofjt
$ddcmd(⇥,⇥)	ofjt
$ddcmd(«,«)	ofjt
$ddcmd(»,»)	ofjt
$ddcmd(ぁ,ぁ)	ofrx
$ddcmd(あ,あ)	ofrx
$ddcmd(ぃ,ぃ)	ofrx
$ddcmd(い,い)	ofrx
$ddcmd(ぅ,ぅ)	ofrx
$ddcmd(う,う)	ofrx
$ddcmd(ぇ,ぇ)	ofrx
$ddcmd(え,え)	ofrx
$ddcmd(ぉ,ぉ)	ofrx
$ddcmd(お,お)	ofrx
$ddcmd(か,か)	ofrx
$ddcmd(が,が)	ofrx
$ddcmd(き,き)	ofrx
$ddcmd(ぎ,ぎ)	ofrx
$ddcmd(ぱ,ぱ)	ofrx
$ddcmd(く,く)	ofrx
$ddcmd(ぐ,ぐ)	ofrx
$ddcmd(け,け)	ofrx
$ddcmd(げ,げ)	ofrx
$ddcmd(こ,こ)	ofrx
$ddcmd(ご,ご)	ofrx
$ddcmd(さ,さ)	ofrx
$ddcmd(ざ,ざ)	ofrx
$ddcmd(し,し)	ofrx
$ddcmd(じ,じ)	ofrx
$ddcmd(す,す)	ofrx
$ddcmd(ず,ず)	ofrx
$ddcmd(せ,せ)	ofrx
$ddcmd(ぜ,ぜ)	ofrx
$ddcmd(そ,そ)	ofrx
$ddcmd(ぞ,ぞ)	ofrx
$ddcmd(た,た)	ofrx
$ddcmd(だ,だ)	ofrx
$ddcmd(ち,ち)	ofrx
$ddcmd(ぢ,ぢ)	ofrx
$ddcmd(っ,っ)	ofrx
$ddcmd(つ,つ)	ofrx
$ddcmd(づ,づ)	ofrx
$ddcmd(て,て)	ofrx
$ddcmd(で,で)	ofrx
$ddcmd(と,と)	ofrx
$ddcmd(ど,ど)	ofrx
$ddcmd(な,な)	ofrx
$ddcmd(に,に)	ofrx
$ddcmd(ぬ,ぬ)	ofrx
$ddcmd(ね,ね)	ofrx
$ddcmd(の,の)	ofrx
$ddcmd(は,は)	ofrx
$ddcmd(ば,ば)	ofrx
$ddcmd(ひ,ひ)	ofrx
$ddcmd(び,び)	ofrx
$ddcmd(ぴ,ぴ)	ofrx
$ddcmd(ふ,ふ)	ofrx
$ddcmd(ぶ,ぶ)	ofrx
$ddcmd(ぷ,ぷ)	ofrx
$ddcmd(へ,へ)	ofrx
$ddcmd(べ,べ)	ofrx
$ddcmd(ぺ,ぺ)	ofrx
