---config@码表分类=主码-6
---config@码表别名=Ｏ符
😊	oi
$ddcmd(ρ,ρ)	ofxx
$ddcmd(σ,σ)	ofxx
$ddcmd(τ,τ)	ofxx
$ddcmd(υ,υ)	ofxx
$ddcmd(φ,φ)	ofxx
$ddcmd(χ,χ)	ofxx
$ddcmd(ψ,ψ)	ofxx
$ddcmd(ω,ω)	ofxx
$ddcmd(①,①)	ofyu
$ddcmd(②,②)	ofyu
$ddcmd(③,③)	ofyu
$ddcmd(④,④)	ofyu
$ddcmd(⑤,⑤)	ofyu
$ddcmd(⑥,⑥)	ofyu
$ddcmd(⑦,⑦)	ofyu
$ddcmd(⑧,⑧)	ofyu
$ddcmd(⑨,⑨)	ofyu
$ddcmd(⑩,⑩)	ofyu
$ddcmd(┌,┌)	ofvb
$ddcmd(└,└)	ofvb
$ddcmd(┐,┐)	ofvb
$ddcmd(┘,┘)	ofvb
$ddcmd(─,─)	ofvb
$ddcmd(│,│)	ofvb
$ddcmd(├,├)	ofvb
$ddcmd(┤,┤)	ofvb
$ddcmd(┬,┬)	ofvb
$ddcmd(┴,┴)	ofvb
$ddcmd(┼,┼)	ofvb
$ddcmd(┏,┏)	ofvb
$ddcmd(┗,┗)	ofvb
$ddcmd(┓,┓)	ofvb
$ddcmd(┛,┛)	ofvb
$ddcmd(━,━)	ofvb
$ddcmd(┃,┃)	ofvb
$ddcmd(┣,┣)	ofvb
$ddcmd(┫,┫)	ofvb
$ddcmd(┳,┳)	ofvb
$ddcmd(┻,┻)	ofvb
$ddcmd(╋,╋)	ofvb
¹	ofub
²	ofub
³	ofub
⁴	ofub
⁵	ofub
⁶	ofub
⁷	ofub
⁸	ofub
⁹	ofub
⁰	ofub
⁺	ofub
⁻	ofub
⁼	ofub
⁽	ofub
⁾	ofub
ⁿ	ofub
ˣ	ofub
ʸ	ofub
₁	ofxb
₂	ofxb
₃	ofxb
₄	ofxb
₅	ofxb
₆	ofxb
₇	ofxb
₈	ofxb
₉	ofxb
₀	ofxb
₊	ofxb
₋	ofxb
₌	ofxb
₍	ofxb
₎	ofxb
ₙ	ofxb
ₐ	ofxb
ₑ	ofxb
$ddcmd(⿰,⿰)	ofjg
$ddcmd(⿱,⿱)	ofjg
$ddcmd(⿲,⿲)	ofjg
$ddcmd(⿳,⿳)	ofjg
$ddcmd(⿴,⿴)	ofjg
$ddcmd(⿵,⿵)	ofjg
$ddcmd(⿶,⿶)	ofjg
$ddcmd(⿷,⿷)	ofjg
$ddcmd(⿸,⿸)	ofjg
$ddcmd(⿹,⿹)	ofjg
$ddcmd(⿺,⿺)	ofjg
$ddcmd(⿻,⿻)	ofjg
$ddcmd(ɪ,ɪ)	ofyb
$ddcmd(æ,æ)	ofyb
$ddcmd(ʌ,ʌ)	ofyb
$ddcmd(ɒ,ɒ)	ofyb
$ddcmd(ʊ,ʊ)	ofyb
$ddcmd(ə,ə)	ofyb
$ddcmd(θ,θ)	ofyb
$ddcmd(ʃ,ʃ)	ofyb
$ddcmd(ð,ð)	ofyb
$ddcmd(ʒ,ʒ)	ofyb
$ddcmd(ŋ,ŋ)	ofyb
$ddcmd(i:,i:)	ofyb
$ddcmd(ɑ:,ɑ:)	ofyb
$ddcmd(ɔ:,ɔ:)	ofyb
$ddcmd(u:,u:)	ofyb
$ddcmd(ɜ:,ɜ:)	ofyb
$ddcmd(tʃ,tʃ)	ofyb
$ddcmd(dʒ,dʒ)	ofyb
$ddcmd(eɪ,eɪ)	ofyb
$ddcmd(aɪ,aɪ)	ofyb
$ddcmd(ɔɪ,ɔɪ)	ofyb
$ddcmd(aʊ,aʊ)	ofyb
$ddcmd(əʊ,əʊ)	ofyb
$ddcmd(ɪə,ɪə)	ofyb
$ddcmd(eə,eə)	ofyb
$ddcmd(ʊə,ʊə)	ofyb
[破涕为笑]	owxk
[合十]	owbt
[微笑]	owwx
[撇嘴]	owpz
[色]	owse
[发呆]	owfd
[得意]	owdy
[流汗]	owlh
[流泪]	owdk
[坏笑]	owhx
[害羞]	owhx
[闭嘴]	owbz
[睡]	owuv
[大哭]	owll
[鼓掌]	owgv
[尴尬]	owgg
[发怒]	owfn
[偷笑]	owtx
[调皮]	owtp
[呲牙]	owcy
[惊讶]	owjy
[难过]	owng
[囧]	owjs
[抓狂]	owvk
[吐]	owtu
[晕]	owyy
[愉快]	owyk
[白眼]	owby
[傲慢]	owam
[抠鼻]	owkb
[困]	owky
[惊恐]	owjk
[憨笑]	owhx
[悠闲]	owyx
[奋斗]	owfd
[咒骂]	owvm
[疑问]	owyw
[嘘]	owxu
[衰]	owuk
[骷髅]	owkl
[强]	owql
[敲打]	owqd
[再见]	owzj
[擦汗]	owch
[左哼哼]	owhh
[右哼哼]	owhh
[哈欠]	owhq
[鄙视]	owbu
[委屈]	owwq
[快哭了]	owkk
[阴险]	owyx
[亲亲]	owqq
[可怜]	owkl
[菜刀]	owcd
[西瓜]	owxg
[啤酒]	owpj
[咖啡]	owkf
[猪头]	owvt
[玫瑰]	owmg
[凋谢]	owdx
[嘴唇]	owzi
[爱心]	owax
[心碎]	owxs
[蛋糕]	owdg
[炸弹]	owvd
[便便]	owbb
[月亮]	owyl
[太阳]	owty
[拥抱]	owyb
[弱]	owro
[握手]	owwu
[胜利]	owul
[抱拳]	owbq
[勾引]	owgy
[拳头]	owqt
[OK]	owok
[跳跳]	owtt
[发抖]	owfd
[怄火]	owoh
[转圈]	owvq
[嘿哈]	owhh
[捂脸]	owwl
[奸笑]	owjx
[机智]	owjv
[皱眉]	owvm
[耶]	owye
[吃瓜]	owig
[加油]	owjy
[汗]	owhj
[天啊]	owta
[Emm]	owem
[社会社会]	owuh
[旺柴]	owwi
[打脸]	owdl
[加油加油]	owjy
[哇]	owwa
[红包]	owhb
[發]	owfa
[福]	owfu
[翻白眼]	owby
[666]	owll
[让我看看]	owtk
[叹气]	owtq
[苦涩]	owks
[裂开]	owlk
[笑脸]	owxl
[生病]	owub
[脸红]	owlh
[恐惧]	owkj
[失望]	owuw
[好的]	owhd
[合十]	owhu
[庆祝]	owqv
[礼物]	owlw
[烟花]	owyh
[爆竹]	owbv
👏	oigv
🙏	oibt
👍	oiql
👎	oiro
🫰	oibx
🤝	oiwu
🥱	oihq
🌹	oimg
😋	oimw
😂	oixk
❤️	oihx
🤦	oiwl
🤣	oixd
🔥	oiho
😊	oixn
🙂	oihh
🤭	oitx
😍	oise
🤔	oisk
😵	oiyy
🤗	oiyb
🙄	oiby
😡	oifn
😘	oifw
😚	oitz
😓	oilh
😐	oilm
😏	oidy
😄	oidx
😀	oiha
😕	oipz
🎉	oiqv
😫	oipb
😛	oitu
😒	oibz
😠	oiuq
😢	oiku
😕	oikh
💀	oikl
🍉	oiig
😶	oiim
😤	oiiq
🤕	oiuu
😴	oiuj
😪	oiky
😁	oicy
😖	oivk
😉	oivy
😎	oimj
😙	oiwf
😲	oijy
😣	oiji
😯	oiij
🥵	oire
🥶	oilg
👂	oier
🚶	oizl
👌	oiok
🫶	oian
🤟	oian
🤘🏻	oiyg
🖕	oicc
🤙	oidh
😜	oitp
😞	oiuw
🫣	oitk
😧	oitk
😰	oilh
🤬	oivm
😊	oiwx
😋	oihi
😇	oitu
😑	oiwy
🤨	oitm
😥	oiuw
😤	oiam
😌	oiax
😷	oikv
😟	oiyu
😨	oikj
😱	oijk
😭	oidk
🤫	oixu
🤐	oibz
😚	oiqq
🤥	oiuh
🌙	oiyl
☀️	oity
🙃	oidl
😔	oiis
🤮	oiot
😅	oikx
🤢	oiex
🥺	oikq
🤓	oiud
🥹	oidx
🤡	oixi
🥳	oipd
🤬	oinm
💢	oinu
💓	oixt
🛩️	oifj
🚩	oiqv
🦀	oipx
🚬	oiyt
🙋	oiju
🧋	oini
🤩	oiib
🥂	oivh
🍻	oigb
💔	oixs
🍚	oiif
🍵	oiia
🐻	oixs
🐔	oijt
🐂	oinq
🐦	oinn
🐴	oimt
🐍	oiue
🐲	oilt
🐟	oiyu
🐋	oijy
🐖	oivu
🐑	oiyh
🐕	oigz
🐈	oimc
🐉	oils
🦌	oilu
🍺️	oipj
🍉	oixg
🎂	oidg
💣	oivd
💩	oidb
🐶	oigt
🐏	oiyh
🐊	oiey
🐧	oiqe
🦋	oihd
🐌	oiwn
🐭	oiut
🐢	oiwg
🐵	oiht
🐷	oivt
🐹	oicu
🐮	oint
🐡	oiht
🐯	oiht
🐁	oilu
🐺	oilt
🐛	oiqi
🐞	oipi
🐬	oiht
🐫	oilt
🦖	oikl
🦕	oikl
🐨	oikl
🐤	oixj
🐇	oitz
🐓	oiji
🐼	oixm
🐜	oimy
🐘	oidx
🐝	oimf
🐱	oimt
🐿️	oiss
🦎	oixy
🐸	oiqw
🐰	oitz
🍑	oitz
👀	oiyj
🌸	oihx
🐎	oima
🚶	oirf
🐅	oihu
🍜	oimm
💰	oiqm
❓	oiwh
❗	oijt
✅	oidv
✔	oidv
❌	oico
🇨🇳	oigq
☕️	oikf
🍕	oips
📸	oipv
🚀	oihj
🍔	oihb
🎃	oing
🦁	oiuz
⚽	oizq
🎧	oiej
🚗	oiiz
🏠	oifz
🌍	oidq
🔔	oild
💡	oidp
⏰	oinv
🗓	oirl
🏆	oijb
💦	oiuv
💩	oibb
💉	oidv
🍀	oisy
🎋	oivz
🧨	oibv
🔥	oihy
📍	oitd
🌈	oich
🤖	oijq
🍓	oicm
🍑	oitc
🏃	oipb
🎋	oiqx
🎅🏾	oiud
🥵	oifu
💰	oiqd
🦐	oixx
💯	oibf
📢	oilb
🥕	oilb
💐	oihs
✨	oiul
🍑	oipg
🙅	oijv
🎁	oilw
🫡	oijl
🙇	oijg
🍆	oiqz
😅	oigg
😨	oihp
🥺	oiwq
🧚‍♀️	oijl
🎅	oilr
👩‍❤️‍👨	oiaq
🥷	oirv
🤰	oiyf
💃	oitw
🧎	oiqd
💞	oiax
👋	oihu
😮‍💨	oitq
🥶	oifd
😶‍🌫️	oiwm
🤦	oiwn
🧠	oidn
🫀	oixz
🌊	oilh
㊙️	oimi
⭕	oiyq
🔴	oihs
❤️	oihs
🟡	oihl
💛	oihl
🟢	oilv
💚	oilv
🔵	oilj
💙	oilj
🟣	oizi
💜	oizi
⚫	oihw
🖤	oihw
⚪	oibd
🤍	oibd
🔨	oiiz
🚫	oijv
👮	oiji
1⃣	oiyi
3️⃣	oisj
2️⃣	oier
✏️	oibi
🪽	oiib
🪄	oimb
💋	oiiy
🚶🐎👀🌸	oigh
🐎🐎🐅🐅	oimh
＆	ota
α	ota
～	otb
β	otb
©	otb
℃	otc
°	otd
＝	otd
≠	otd
＞	otdy
≥	otdy
の	ote
ε	ote
′	otf
Φ	otf
■	otfh
□	otfh
√	otg
γ	otg
✓	otg
℉	oth
※	oth
¤	oth
×	oti
÷	oti
✗	oti
＋	otj
－	otj
⤴	otk
$ddcmd(⎵,␣)	otk
∅	otk
m³	otl
″	otm
μ	otm
￠	otm
♂	otn
♀	otn
№	otn
€	oto
Ω	oto
㎡	otp
π	otp
☰	otq
☷	otq
¥	otr
∴	ots
∵	ots
▲	otsu
△	otsu
▶	otsy
▷	otsy
▼	otsx
▽	otsx
◀	otsz
◁	otsz
฿	ott
τ	ott
℡	ott
ϟ	otu
囍	otu
™	otu
§	otv
®	otv
㈱	otv
‱	otw
∞	otw
＜	otx
≤	otx
★	otxk
✩	otxk
£	oty
≈	oty
●	otyr
○	otyr
↑	otz
↓	otz
←	otz
ā	opa
á	opa
ǎ	opas
à	opas
ō	opo
ó	opo
ǒ	opos
ò	opos
ē	ope
é	ope
ê	ope
ě	opes
è	opes
ī	opi
í	opi
ǐ	opis
ì	opis
ū	opu
ú	opu
ǔ	opus
ù	opus
ǖ	opv
ǘ	opv
ü	opv
ǚ	opvs
ǜ	opvs
ḿ	opm
m̀	opm
ń	opn
ň	opn
ǹ	opn
ɪ	oey
æ	oea
ʌ	oea
ɑ:	oea
ʊ	oew
ə	oee
θ	oes
ʃ	oeu
ð	oez
ʒ	oer
ŋ	oen
i:	oey
ɒ	oeo
ɔ:	oeo
u:	oew
ɜ:	oee
$ddcmd(凹,凹)	oxa
$ddcmd(百,百)	oxb
$ddcmd(白,白)	oxb
$ddcmd(八,八)	oxb
$ddcmd(卜,卜)	oxb
$ddcmd(匕,匕)	oxb
$ddcmd(卞,卞)	oxb
$ddcmd(不,不)	oxb
$ddcmd(巴,巴)	oxb
$ddcmd(本,本)	oxb
$ddcmd(必,必)	oxb
$ddcmd(丙,丙)	oxb
$ddcmd(半,半)	oxb
$ddcmd(办,办)	oxb
$ddcmd(寸,寸)	oxc
$ddcmd(才,才)	oxc
$ddcmd(册,册)	oxc
$ddcmd(匆,匆)	oxc
$ddcmd(大,大)	oxd
$ddcmd(丁,丁)	oxd
$ddcmd(刀,刀)	oxd
$ddcmd(歹,歹)	oxd
$ddcmd(刁,刁)	oxd
$ddcmd(东,东)	oxd
$ddcmd(丹,丹)	oxd
$ddcmd(电,电)	oxd
$ddcmd(氐,氐)	oxd
$ddcmd(二,二)	oxe
$ddcmd(耳,耳)	oxe
$ddcmd(儿,儿)	oxe
$ddcmd(而,而)	oxe
$ddcmd(非,非)	oxf
$ddcmd(方,方)	oxf
$ddcmd(飞,飞)	oxf
$ddcmd(夫,夫)	oxf
$ddcmd(凡,凡)	oxf
$ddcmd(甫,甫)	oxf
$ddcmd(弗,弗)	oxf
$ddcmd(乏,乏)	oxf
$ddcmd(丰,丰)	oxf
$ddcmd(广,广)	oxg
$ddcmd(弓,弓)	oxg
$ddcmd(戈,戈)	oxg
$ddcmd(工,工)	oxg
$ddcmd(瓜,瓜)	oxg
$ddcmd(干,干)	oxg
$ddcmd(个,个)	oxg
$ddcmd(甘,甘)	oxg
$ddcmd(丐,丐)	oxg
$ddcmd(果,果)	oxg
$ddcmd(更,更)	oxg
$ddcmd(夬,夬)	oxg
$ddcmd(禾,禾)	oxh
$ddcmd(户,户)	oxh
$ddcmd(互,互)	oxh
$ddcmd(乎,乎)	oxh
$ddcmd(火,火)	oxh
$ddcmd(川,川)	oxi
$ddcmd(厂,厂)	oxi
$ddcmd(车,车)	oxi
$ddcmd(长,长)	oxi
$ddcmd(叉,叉)	oxi
$ddcmd(尺,尺)	oxi
$ddcmd(丑,丑)	oxi
$ddcmd(臣,臣)	oxi
$ddcmd(成,成)	oxi
$ddcmd(垂,垂)	oxi
$ddcmd(斥,斥)	oxi
$ddcmd(串,串)	oxi
$ddcmd(产,产)	oxi
$ddcmd(出,出)	oxi
$ddcmd(巾,巾)	oxj
$ddcmd(几,几)	oxj
$ddcmd(九,九)	oxj
$ddcmd(斤,斤)	oxj
$ddcmd(久,久)	oxj
$ddcmd(巨,巨)	oxj
$ddcmd(己,己)	oxj
$ddcmd(井,井)	oxj
$ddcmd(及,及)	oxj
$ddcmd(夹,夹)	oxj
$ddcmd(甲,甲)	oxj
$ddcmd(臼,臼)	oxj
$ddcmd(韭,韭)	oxj
$ddcmd(戋,戋)	oxj
$ddcmd(柬,柬)	oxj
$ddcmd(击,击)	oxj
$ddcmd(口,口)	oxk
$ddcmd(开,开)	oxk
$ddcmd(亏,亏)	oxk
$ddcmd(了,了)	oxl
$ddcmd(力,力)	oxl
$ddcmd(乐,乐)	oxl
$ddcmd(来,来)	oxl
$ddcmd(良,良)	oxl
$ddcmd(两,两)	oxl
$ddcmd(里,里)	oxl
$ddcmd(吏,吏)	oxl
$ddcmd(耒,耒)	oxl
$ddcmd(卵,卵)	oxl
$ddcmd(丽,丽)	oxl
$ddcmd(木,木)	oxm
$ddcmd(毛,毛)	oxm
$ddcmd(米,米)	oxm
$ddcmd(门,门)	oxm
$ddcmd(马,马)	oxm
$ddcmd(皿,皿)	oxm
$ddcmd(末,末)	oxm
$ddcmd(灭,灭)	oxm
$ddcmd(母,母)	oxm
$ddcmd(民,民)	oxm
$ddcmd(么,么)	oxm
$ddcmd(面,面)	oxm
$ddcmd(廿,廿)	oxn
$ddcmd(女,女)	oxn
$ddcmd(牛,牛)	oxn
$ddcmd(鸟,鸟)	oxn
$ddcmd(乃,乃)	oxn
$ddcmd(内,内)	oxn
$ddcmd(农,农)	oxn
$ddcmd(年,年)	oxn
$ddcmd(片,片)	oxp
$ddcmd(平,平)	oxp
$ddcmd(爿,爿)	oxp
$ddcmd(七,七)	oxq
$ddcmd(千,千)	oxq
$ddcmd(犬,犬)	oxq
$ddcmd(且,且)	oxq
$ddcmd(丘,丘)	oxq
$ddcmd(曲,曲)	oxq
$ddcmd(气,气)	oxq
$ddcmd(乞,乞)	oxq
$ddcmd(人,人)	oxr
$ddcmd(入,入)	oxr
$ddcmd(冉,冉)	oxr
$ddcmd(壬,壬)	oxr
$ddcmd(刃,刃)	oxr
$ddcmd(三,三)	oxs
$ddcmd(巳,巳)	oxs
$ddcmd(肃,肃)	oxs
$ddcmd(土,土)	oxt
$ddcmd(天,天)	oxt
$ddcmd(太,太)	oxt
$ddcmd(屯,屯)	oxt
$ddcmd(十,十)	oxu
$ddcmd(尸,尸)	oxu
$ddcmd(士,士)	oxu
$ddcmd(手,手)	oxu
$ddcmd(身,身)	oxu
$ddcmd(水,水)	oxu
$ddcmd(上,上)	oxu
$ddcmd(少,少)	oxu
$ddcmd(术,术)	oxu
$ddcmd(失,失)	oxu
$ddcmd(生,生)	oxu
$ddcmd(世,世)	oxu
$ddcmd(申,申)	oxu
$ddcmd(史,史)	oxu
$ddcmd(升,升)	oxu
$ddcmd(事,事)	oxu
$ddcmd(书,书)	oxu
$ddcmd(束,束)	oxu
$ddcmd(勺,勺)	oxu
$ddcmd(戍,戍)	oxu
$ddcmd(豕,豕)	oxu
$ddcmd(氏,氏)	oxu
$ddcmd(矢,矢)	oxu
$ddcmd(止,止)	oxv
$ddcmd(爪,爪)	oxv
$ddcmd(主,主)	oxv
$ddcmd(舟,舟)	oxv
$ddcmd(之,之)	oxv
$ddcmd(正,正)	oxv
$ddcmd(丈,丈)	oxv
$ddcmd(中,中)	oxv
$ddcmd(专,专)	oxv
$ddcmd(朱,朱)	oxv
$ddcmd(州,州)	oxv
$ddcmd(重,重)	oxv
$ddcmd(乍,乍)	oxv
$ddcmd(王,王)	oxw
$ddcmd(瓦,瓦)	oxw
$ddcmd(五,五)	oxw
$ddcmd(无,无)	oxw
$ddcmd(万,万)	oxw
$ddcmd(午,午)	oxw
$ddcmd(亡,亡)	oxw
$ddcmd(未,未)	oxw
$ddcmd(乌,乌)	oxw
$ddcmd(韦,韦)	oxw
$ddcmd(勿,勿)	oxw
$ddcmd(为,为)	oxw
$ddcmd(戊,戊)	oxw
$ddcmd(我,我)	oxw
$ddcmd(丸,丸)	oxw
$ddcmd(兀,兀)	oxw
$ddcmd(小,小)	oxx
$ddcmd(西,西)	oxx
$ddcmd(心,心)	oxx
$ddcmd(血,血)	oxx
$ddcmd(下,下)	oxx
$ddcmd(夕,夕)	oxx
$ddcmd(乡,乡)	oxx
$ddcmd(习,习)	oxx
$ddcmd(戌,戌)	oxx
$ddcmd(又,又)	oxy
$ddcmd(酉,酉)	oxy
$ddcmd(已,已)	oxy
$ddcmd(于,于)	oxy
$ddcmd(义,义)	oxy
$ddcmd(与,与)	oxy
$ddcmd(夭,夭)	oxy
$ddcmd(玉,玉)	oxy
$ddcmd(牙,牙)	oxy
$ddcmd(丫,丫)	oxy
$ddcmd(永,永)	oxy
$ddcmd(尤,尤)	oxy
$ddcmd(也,也)	oxy
$ddcmd(业,业)	oxy
$ddcmd(由,由)	oxy
$ddcmd(央,央)	oxy
$ddcmd(亚,亚)	oxy
$ddcmd(严,严)	oxy
$ddcmd(用,用)	oxy
$ddcmd(幺,幺)	oxy
$ddcmd(禺,禺)	oxy
$ddcmd(臾,臾)	oxy
$ddcmd(尹,尹)	oxy
$ddcmd(禹,禹)	oxy
$ddcmd(夷,夷)	oxy
$ddcmd(弋,弋)	oxy
$ddcmd(聿,聿)	oxy
$ddcmd(雨,雨)	oxy
$ddcmd(曳,曳)	oxy
$ddcmd(再,再)	oxz
$ddcmd(自,自)	oxz
$ddcmd(子,子)	oxz
①	oyy
Ⅰ	oyy
②	oye
Ⅱ	oye
③	oys
Ⅲ	oys
④	oysi
Ⅳ	oysi
④	oyf
Ⅳ	oyf
⑤	oyw
Ⅴ	oyw
⑥	oyl
Ⅵ	oyl
⑦	oyq
Ⅶ	oyq
⑧	oyb
Ⅷ	oyb
⑨	oyj
Ⅸ	oyj
⑩	oyu
Ⅹ	oyu
$ddcmd(䒑,䒑qm)	okq
$ddcmd(丂,丂qn)	okq
$ddcmd(夋,夋qy)	okq
$ddcmd(亠,亠wf)	okw
$ddcmd(夗,夗wj)	okw
$ddcmd(㔾,㔾ee)	oke
$ddcmd(𠂉,𠂉rf)	okr
$ddcmd(龸,龸th)	okt
$ddcmd(𤇾,𤇾yk)	oky
$ddcmd(肙,肙yr)	oky
$ddcmd(冘,冘yb)	oky
$ddcmd(肀,肀yu)	oky
$ddcmd(氵,氵uv)	oku
$ddcmd(彡,彡uj)	oku
$ddcmd(𠂆,𠂆ih)	oki
$ddcmd(𡗗,𡗗iy)	oki
$ddcmd(镸,镸ih)	oki
$ddcmd(巛,巛ir)	oki
$ddcmd(𠂢,𠂢pd)	okp
$ddcmd(攴,攴pu)	okp
$ddcmd(疋,疋pi)	okp
$ddcmd(敖,敖ao)	oka
$ddcmd(㒸,㒸sv)	oks
$ddcmd(癶,癶dg)	okd
$ddcmd(𠂤,𠂤dv)	okd
$ddcmd(弔,弔dn)	okd
$ddcmd(歺,歺dd)	okd
$ddcmd(厷,厷gs)	okg
$ddcmd(龷,龷gs)	okg
$ddcmd(彑,彑hu)	okh
$ddcmd(巟,巟hl)	okh
$ddcmd(丩,丩jq)	okj
$ddcmd(丬,丬jl)	okj
$ddcmd(丮,丮ji)	okj
$ddcmd(巠,巠jk)	okj
$ddcmd(囗,囗kl)	okk
$ddcmd(㠯,㠯kz)	okk
$ddcmd(坴,坴lu)	okl
$ddcmd(畾,畾lw)	okl
$ddcmd(㐬,㐬lq)	okl
$ddcmd(夌,夋lk)	okl
$ddcmd(𠂔,𠂔zi)	okz
$ddcmd(龰,龰zz)	okz
$ddcmd(彐,彐xt)	okx
$ddcmd(卂,卂xy)	okx
$ddcmd(襾,襾xi)	okx
$ddcmd(屮,屮cc)	okc
$ddcmd(朿,朿ci)	okc
$ddcmd(卝,卝cc)	okc
$ddcmd(冫,冫bk)	okb
$ddcmd(㡀,㡀bi)	okb
$ddcmd(㐄,㐄nq)	okn
$ddcmd(屰,屰ni)	okn
$ddcmd(卯,卯mc)	okm
$ddcmd(newkey(ofbd),[标点]d)	ofb
$ddcmd(newkey(ofpp),[偏旁]p)	ofp
$ddcmd(newkey(ofpy),[拼音]y)	ofp
$ddcmd(newkey(ofdw),[单位]w)	ofd
$ddcmd(newkey(ofjt),[箭头]t)	ofj
$ddcmd(newkey(ofub),[上标]b)	ofu
$ddcmd(newkey(ofxb),[下标]b)	ofx
$ddcmd(newkey(ofyu),[圆圈数字]u)	ofy
$ddcmd(newkey(ofku),[括号数字]u)	ofk
$ddcmd(newkey(ofdu),[点号数字]u)	ofd
$ddcmd(newkey(ofvu),[中文数字]u)	ofv
$ddcmd(newkey(ofld),[罗马大写]d)	ofl
$ddcmd(newkey(oflx),[罗马小写]x)	ofl
$ddcmd(newkey(oftu),[特殊符号]u)	oft
$ddcmd(newkey(ofux),[数学符号]x)	ofu
$ddcmd(newkey(ofhb),[货币符号]b)	ofh
$ddcmd(newkey(ofvb),[制表符号]b)	ofv
$ddcmd(newkey(ofvy),[注音符号]y)	ofv
$ddcmd(newkey(ofxd),[希腊大写]d)	ofx
$ddcmd(newkey(ofxx),[希腊小写]x)	ofx
$ddcmd(newkey(ofed),[俄文大写]d)	ofe
$ddcmd(newkey(ofex),[俄文小写]x)	ofe
$ddcmd(newkey(ofrd),[日文大写]d)	ofr
$ddcmd(newkey(ofrx),[日文小写]x)	ofr
