---config@码表分类=主码-7
---config@码表别名=全码词
童话	tshx#删
同城	tsig#删
通气	tsqi#删
同事	tsui#删
腿部	tvbu#删
推导	tvdc#删
退费	tvfw#删
偷窥	tzkv#删
投降	tzxl#删
妥妥当当	ttdd#删
条条框框	ttkk#删
甜甜蜜蜜	ttmm#删
头痛欲裂	ttyl#删
伤害	uhhd#删
世纪	uiji#删
束缚	uufu#删
傻了	uale#删
涉及	ueji#删
赊账	uevh#删
深化	ufhx#删
神坛	uftj#删
身姿	ufzi#删
剩菜	ugcd#删
升幅	ugfu#删
生姜	ugjl#删
生理	ugli#删
声明	ugmk#删
使馆	uigr#删
使坏	uihk#删
闪亮	ujll#删
说道	uodc
书信	uuxb#删
谁知	uvvi#删
水利	uvli#删
收到	uzdc#删
收工	uzgs#删
收货	uzho
收集	uzji#删
受理	uzli#删
手拿	uzna#删
手下	uzxx#删
赏赐	uhci#删
深情厚谊	uqhy#删
时日无多	urwd#删
食色性也	usxy#删
生死攸关	usyg#删
十年生死两茫茫	unum#删
整句	vgju#删
征服	vgfu#删
照办	vcbj#删
着凉	vcll#删
朝霞	vcxx#删
债券	vdqr#删
宅子	vdzi#删
哲理	veli#删
只管	vigr#删
值钱	viqm#删
质问	viwf#删
战线	vjxm#删
撞车	vlie
转圜	vrhr#删
转头	vrtz#删
专项	vrxl#删
专研	vryj#删
仲裁	vscd#删
终点	vsdm#删
重力	vsli#删
忠实	vsui#删
中心	vsxb#删
主体	vuti#删
注释	vuui#删
坠毁	vvhv#删
皱起	vzqi#删
睁只眼闭只眼	vvyy#删
猥琐	wwso#删
微信	wwxb#删
外接	wdjp#删
外壳	wdke#删
外貌	wdmc#删
外甥	wdug#删
文殊	wfuu#删
蚊子	wfzi#删
王八	whba#删
旺季	whji#删
往上	whuh#删
王者	whve#删
网友	whyz#删
晚了	wjle#删
玩转	wjvr#删
玩意	wjyi#删
微风	wwfg#删
稳健	wfjm#删
五笔	wubi#删
我必犯人	wbfr#删
为期不远	wqby#删
万丈深渊	wvuy#删
毋庸讳言	wyhy#删
无规矩不成方圆	wgjy#删
险恶	xmee#删
瑕疵	xxci#删
心算	xbsr#删
幸好	xkhc#删
行程	xkig#删
性急	xkji#删
兴致	xkvi#删
想必	xlbi#删
享福	xlfu#删
相连	xllm#删
象棋	xlqi#删
相思	xlsi#删
相通	xlts#删
巷子	xlzi#删
消化	xnhx#删
泄漏	xplz
兄长	xsvh#删
雄伟	xsww#删
续保	xubc#删
虚实	xuui#删
下蛋	xxdj#删
霞光万道	xgwd#删
一边	yibm#删
音形	ybxk#删
药店	ycdm#删
钥匙	ycui#删
阉割	yjge#删
严厉	yjli#删
远离	yrli#删
油锅	yzgo#删
拥护	yshu#删
有法必依	yfby#删
一飞冲天	yfit#删
一清二白	yqeb#删
一物降一物	ywxw#删
余情未了	yqwl#删
一亩三分地	ymsd#删
一年之计在于春	ynvi#删
远亲不如近邻	yqbl#删
一朝权在手	yvqu#删
一问三不知	ywsv#删
杂质	zavi#删
造反	zcfj#删
造就	zcjq#删
糟了	zcle#删
早起	zcqi#删
宰客	zdke#删
字符	zifu#删
自贡	zigs#删
资深	ziuf#删
资讯	zixy#删
作假	zojx#删
踪迹	zsji#删
宗旨	zsvi#删
纵向	zsxl#删
阻止	zuvi#删
走近	zzjb#删
宗师	zsui#删
座位	zoww#删
自毁长城	zhii#删
自取其辱	zqqr#删
在情在理	zqzl#删
按时	anui#删#固
按到	andc#固
而是	erui#删#固
反应	fjyk#删#固
成为	igww#删#固
传统	irts#删#固
即可	jike#删#固
简单	jmdj#删#固
计算	jisr#删#固
简直	jmvi#删#固
极其	jiqi#删#固
联系	lmxi#删#固
每周	mwvz#删#固
美丽	mwli#删#固
期间	qijm#删#固
任务	rfwu#删#固
台湾	tdwj#删#固
时间	uijm#删#固
水平	uvpk#删#固
试试	uiui#删#固
神似	ufsi#删#固
事半功倍	ubgb#固
知道	vidc#删#固
只能	ving#删#固
只是	viui#删#固
只会	vihv#删#固
微软	wwrr#固
位置	wwvi#删#固
修正	xqvg#删#固
小时	xnui#删#固
现金	xmjb#删#固
想想	xlxl#删#固
一下	yixx#删#固
一直	yivi#删#固
一片	yipm#删#固
在线	zdxm#删#固
